"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site_name","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Rh_annual","Ra_annual","Manipulation","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","Ecosystem_type2","Outlier_rh","Outlier_ra","Mean.Temp.","Mean.Precip.","delta.Mean.Temp.","delta.Mean.Precip."
888,1991,1,39.08,-96.58,"Konza Prairie",815,NA,"Temperate","Natural","Grassland","Deciduous",12.5,835,"Gas chromatography","","Mature",1384,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.67666666666667,832.25,-0.622946039986132,-161.291340309468
889,1991,1,39.08,-96.58,"Konza Prairie",815,NA,"Temperate","Natural","Grassland","Deciduous",12.5,835,"Gas chromatography","","Mature",1314,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.67666666666667,832.25,-0.622946039986132,-161.291340309468
890,1991,1,39.08,-96.58,"Konza Prairie",815,NA,"Temperate","Natural","Grassland","Deciduous",12.5,835,"Gas chromatography","","Mature",906,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.67666666666667,832.25,-0.622946039986132,-161.291340309468
922,1995,2,39.08,-96.58,"Konza Prairie",1338,NA,"Temperate","Natural","Grassland","Deciduous",12.8,835,"IRGA","","Mature",1440,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.33833333333333,832.25,-0.961279373319465,-161.291340309468
924,1995,2,39.08,-96.58,"Konza Prairie",1338,NA,"Temperate","Natural","Grassland","Deciduous",12.8,835,"IRGA","","Mature",1280,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.33833333333333,832.25,-0.961279373319465,-161.291340309468
964,2003.5,1,41.22,0.92,"Prades Mountains",3729,930,"Mediterranean","Natural","Forest","Evergreen",12,687,"IRGA","","Mature",859,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.08090909090909,394.666666666667,0.781296384256293,-598.874673642802
965,2004.5,1,41.22,0.92,"Prades Mountains",3729,930,"Mediterranean","Natural","Forest","Evergreen",12,687,"IRGA","","Mature",397,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.67818181818182,394.666666666667,0.37856911152902,-598.874673642802
968,2001,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",213,NA,NA,"None",NA,25.9,NA,NA,NA,"Forest",0,0,3.011,648.416666666667,-2.2886127066528,-345.124673642802
969,2001,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",608,NA,NA,"None",NA,25.5,NA,NA,NA,"Forest",0,0,3.011,648.416666666667,-2.2886127066528,-345.124673642802
970,2001,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",709,NA,NA,"None",NA,23.6,NA,NA,NA,"Forest",0,0,3.011,648.416666666667,-2.2886127066528,-345.124673642802
971,2001,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Grassland","Deciduous",7.5,950,"Gas chromatography","","Mature",1522,NA,NA,"None",NA,27.9,NA,NA,NA,"Grassland",0,0,3.011,648.416666666667,-2.2886127066528,-345.124673642802
972,2002,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",275,NA,NA,"None",NA,25.9,NA,NA,NA,"Forest",0,0,3.43636363636364,743.583333333333,-1.86324907028916,-249.958006976135
973,2002,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",371,NA,NA,"None",NA,25.5,NA,NA,NA,"Forest",0,0,3.43636363636364,743.583333333333,-1.86324907028916,-249.958006976135
974,2002,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Forest","Evergreen",7.5,950,"Gas chromatography","","Aggrading",646,NA,NA,"None",NA,23.6,NA,NA,NA,"Forest",0,0,3.43636363636364,743.583333333333,-1.86324907028916,-249.958006976135
975,2002,1,55.17,-2.05,"Harwood Forest",3733,NA,"Temperate","Managed","Grassland","Deciduous",7.5,950,"Gas chromatography","","Mature",903,NA,NA,"None",NA,27.9,NA,NA,NA,"Grassland",0,0,3.43636363636364,743.583333333333,-1.86324907028916,-249.958006976135
1036,2004.5,1,48.67,7.06,"Hesse Forest-H1",4003,305,"Temperate","Natural","Forest","Deciduous",9.7,913,"IRGA","Exclusion","Mature",528,164,364,"None",1.18,NA,NA,NA,NA,"Forest",0,0,3.68636363636364,661.166666666667,-1.61324907028916,-332.374673642802
1037,2004.5,1,48.68,7.07,"Hesse Forest-H2",4003,300,"Temperate","Natural","Forest","Deciduous",9.7,913,"IRGA","Exclusion","Mature",527,242,285,"None",1.15,NA,NA,NA,NA,"Forest",0,0,3.68636363636364,661.166666666667,-1.61324907028916,-332.374673642802
1068,1997,1,39.08,-96.58,"Konza Prairie",1956,382,"Temperate","Natural","Grassland","Deciduous",12.9,844,"IRGA","","Mature",1342,NA,NA,"None",1.2,NA,25,47,28,"Grassland",0,0,3.95636363636364,540.75,-1.34324907028916,-452.791340309468
1140,1998,1,29.73,-82.16,"Gainesville",2563,NA,"Temperate","Managed","Forest","Evergreen",24,1332,"Gas chromatography","","Aggrading",1162,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,7.04727272727273,1166.5,1.74766002061993,172.958659690532
1141,1999,1,29.73,-82.16,"Gainesville",2563,NA,"Temperate","Managed","Forest","Evergreen",24,1332,"Gas chromatography","","Aggrading",1115,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.75,1166.5,1.4503872933472,172.958659690532
1142,1999,1,29.73,-82.16,"Gainesville",2563,NA,"Temperate","Managed","Forest","Evergreen",24,1332,"Gas chromatography","","Aggrading",952,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.75,1166.5,1.4503872933472,172.958659690532
1143,1996,1,29.73,-82.16,"Gainesville",2563,NA,"Temperate","Managed","Forest","Evergreen",24,1332,"Gas chromatography","","Aggrading",1035,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.46333333333333,1599.58333333333,1.16372062668053,606.041993023865
1170,1997,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",600,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.38416666666667,1599.58333333333,0.0845539600138681,606.041993023865
1171,1998,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",784,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.77916666666667,906.75,0.479553960013869,-86.7913403094683
1172,1999,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",898,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.53727272727273,906.75,1.23766002061993,-86.7913403094683
1173,2000,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",996,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.48,829.272727272727,0.180387293347201,-164.268613036741
1174,2001,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",698,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.28545454545455,829.272727272727,-0.0141581611982522,-164.268613036741
1195,1997,1,35.9,-84.33,"Oak Ridge",2656,230,"Temperate","Managed","Forest","Deciduous",14.2,1390,"IRGA","","Aggrading",598,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.38416666666667,1599.58333333333,0.0845539600138681,606.041993023865
1261,1999.5,1.5,39,-96,"Flint Hills",2771,200,"Temperate","Natural","Grassland","Deciduous",13,835,"IRGA","","Mature",858,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.68636363636364,906.75,-0.613249070289162,-86.7913403094683
1262,1999.5,1.5,39,-96,"Flint Hills",2771,200,"Temperate","Natural","Forest","Deciduous",13,835,"IRGA","","Mature",534,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.68636363636364,906.75,-0.613249070289162,-86.7913403094683
1331,2002.5,2,37.98,-109.75,"Canyonlands National Park",3328,1500,"Temperate","Natural","Grassland","Deciduous",12.5,207,"IRGA","","Mature",151,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,2.34727272727273,201.333333333333,-2.95233997938007,-792.208006976135
1390,2003,1,2.97,102.3,"Pasoh Forest Reserve",4391,113,"Tropical","Natural","Forest","Evergreen",NA,1804,"IRGA","","Mature",1588,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,8.49416666666667,1773.63636363636,3.19455396001387,780.095023326895
1391,2004,1,2.97,102.3,"Pasoh Forest Reserve",4391,113,"Tropical","Natural","Forest","Evergreen",NA,1804,"IRGA","","Mature",1565,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,8.59166666666667,1773.63636363636,3.29205396001387,780.095023326895
1392,2005,1,2.97,102.3,"Pasoh Forest Reserve",4391,113,"Tropical","Natural","Forest","Evergreen",NA,1804,"IRGA","","Mature",1526,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,11.09,2626.36363636364,5.7903872933472,1632.82229605417
1487,1996.5,1,48.67,7.08,"Hesse Forest",1437,305,"Temperate","Unmanaged","Forest","Deciduous",9.2,820,"IRGA","","Mature",620,NA,NA,"None",0.85,12.2,NA,NA,NA,"Forest",0,0,3.18,832.333333333333,-2.1196127066528,-161.208006976135
1604,1996,1,48.67,7.08,"Hesse Forest",1602,300,"Temperate","Unmanaged","Forest","Deciduous",9.2,820,"IRGA","Exclusion","Mature",575,230,345,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.18,866.583333333333,-2.1196127066528,-126.958006976135
1605,1997,1,48.67,7.08,"Hesse Forest",1602,300,"Temperate","Unmanaged","Forest","Deciduous",9.2,820,"IRGA","Exclusion","Mature",663,265,398,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.33090909090909,991.916666666667,-1.96870361574371,-1.62467364280167
1619,1998,1,45,-93,"Cedar Creek",1766,NA,"Temperate","Natural","Grassland","Deciduous",NA,NA,"IRGA","","Aggrading",768,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,2.418,781.666666666667,-2.8816127066528,-211.874673642802
1620,1999,1,45,-93,"Cedar Creek",1766,NA,"Temperate","Natural","Grassland","Deciduous",NA,NA,"IRGA","","Aggrading",624,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,3.898,862.75,-1.4016127066528,-130.791340309468
1625,1997,1,47,7,"Egli",1773,NA,"Temperate","Managed","Forest","Mixed",NA,NA,"IRGA","","Aggrading",795,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.89545454545455,991.916666666667,-1.40415816119825,-1.62467364280167
1629,1998,1,47,7,"Egli",1773,NA,"Temperate","Managed","Forest","Mixed",NA,NA,"IRGA","","Aggrading",946,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.64090909090909,991.916666666667,-1.65870361574371,-1.62467364280167
1693,1999,1,35.96,-84.29,"Oak Ridge",1927,365,"Temperate","Natural","Forest","Deciduous",NA,NA,"IRGA","","Mature",575,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.53727272727273,906.75,1.23766002061993,-86.7913403094683
1697,1995,1,43.28,-89.37,"Goose Pond Sanctuary",1958,305,"Temperate","Natural","Grassland","Deciduous",7.6,791,"IRGA","","Mature",560,NA,NA,"None",1.33,NA,16,59,25,"Grassland",0,0,2.90272727272727,673.75,-2.39688543392553,-319.791340309468
1702,1997,1,43.28,-89.37,"Goose Pond Sanctuary",1958,305,"Temperate","Natural","Grassland","Deciduous",7.6,791,"IRGA","","Mature",2550,NA,NA,"None",1.33,NA,16,59,25,"Grassland",0,0,18.4285714285714,599.583333333333,13.1289587219186,-393.958006976135
