"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site_name","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Rh_annual","Ra_annual","Manipulation","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","Ecosystem_type2","Outlier_rh","Outlier_ra","Mean.Temp.","Mean.Precip.","delta.Mean.Temp.","delta.Mean.Precip."
11,2001.5,1.5,55.86,-98.48,"BOREAS NSA-W1981",2534,NA,"Boreal","Natural","Forest","Mixed",0.8,450,"IRGA","Exclusion","Aggrading",570,354,216,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
12,2001.5,1.5,55.92,-98.39,"BOREAS NSA-W1964",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",397,330,67,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,400.416666666667,-4.72044603998613,-593.124673642802
13,2001.5,1.5,55.91,-98.51,"BOREAS NSA-W1930",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",338,290,48,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
14,2001.5,1.5,55.88,-98.48,"BOREAS NSA-W1850; NOBS",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",375,352,23,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
15,1999.5,1.5,56.63,-99.94,"BOREAS NSA-D1998",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Aggrading",226,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,10.6466666666667,275.625,5.34705396001387,-717.916340309468
16,1999.5,1.5,56.46,-99.97,"BOREAS NSA-D1995",2182,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","","Aggrading",412,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,10.6466666666667,275.625,5.34705396001387,-717.916340309468
17,1999.5,1.5,55.91,-98.98,"BOREAS NSA-D1989",2182,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","","Aggrading",357,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
18,1999.5,1.5,55.86,-98.48,"BOREAS NSA-D1981",2182,NA,"Boreal","Natural","Forest","Mixed",0.8,450,"IRGA","","Aggrading",413,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
19,1999.5,1.5,55.92,-98.39,"BOREAS NSA-D1964",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Aggrading",350,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,419.416666666667,-4.80877937331946,-574.124673642802
20,1999.5,1.5,55.91,-98.52,"BOREAS NSA-D1930",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Mature",274,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
21,1999.5,1.5,55.88,-98.48,"BOREAS NSA-D1850; NOBS",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Mature",244,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
22,1999.5,1.5,56.63,-99.94,"BOREAS NSA-W1998",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Aggrading",146,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,10.6466666666667,275.625,5.34705396001387,-717.916340309468
23,1999.5,1.5,56.46,-99.98,"BOREAS NSA-W1995",2182,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","","Aggrading",380,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,10.6466666666667,275.625,5.34705396001387,-717.916340309468
24,1999.5,1.5,55.9,-98.98,"BOREAS NSA-W1989",2182,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","","Aggrading",300,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
25,1999.5,1.5,55.86,-98.48,"BOREAS NSA-W1981",2182,NA,"Boreal","Natural","Forest","Mixed",0.8,450,"IRGA","","Aggrading",303,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
26,1999.5,1.5,55.92,-98.39,"BOREAS NSA-W1964",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Aggrading",256,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,419.416666666667,-4.80877937331946,-574.124673642802
27,1999.5,1.5,55.91,-98.51,"BOREAS NSA-W1930",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Mature",233,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
28,1999.5,1.5,55.88,-98.48,"BOREAS NSA-W1850; NOBS",2182,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","","Mature",264,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.490833333333333,348.375,-4.80877937331946,-645.166340309468
44,1999,4,50.13,11.87,"Wiedenbrunnen2",2459,760,"Temperate","Natural","Forest","Evergreen",6,1019,"IRGA","","Mature",560,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.88909090909091,904.083333333333,-2.41052179756189,-89.4580069761349
46,1997.5,1,50.13,11.87,"Wiedenbrunnen",1565,770,"Temperate","Managed","Forest","Evergreen",5.8,890,"IRGA","Exclusion","Aggrading",710,500,210,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.00727272727273,832.333333333333,-3.29233997938007,-161.208006976135
65,1995,3,-42.87,172.75,"Arneth1",1263,198,"Temperate","Managed","Forest","Evergreen",10.8,658,"IRGA","Subtraction","Aggrading",950,310,640,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.42454545454545,441,-0.875067252107343,-552.541340309468
66,1996,1,-42.87,172.75,"Balmoral Forest plantation",1262,198,"Temperate","Managed","Forest","Evergreen",10.8,547,"IRGA","","Aggrading",370,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.44545454545455,544,-0.854158161198253,-449.541340309468
67,1997,1,-42.87,172.75,"Balmoral Forest plantation",1262,198,"Temperate","Managed","Forest","Evergreen",10.8,640,"IRGA","","Aggrading",440,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.18272727272727,500.833333333333,-1.11688543392553,-492.708006976135
69,2001,1.5,64.8,-147.87,"Bonanza Creek",3179,580,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","Exclusion","Mature",296,161,135,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.946,180.583333333333,-3.3536127066528,-812.958006976135
70,2001,1.5,64.8,-147.87,"Bonanza Creek",3179,184,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","Exclusion","Mature",206,172,34,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.946,180.583333333333,-3.3536127066528,-812.958006976135
71,2001,1.5,64.8,-147.87,"Bonanza Creek",3179,124,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","Exclusion","Mature",192,164,28,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.946,180.583333333333,-3.3536127066528,-812.958006976135
78,1992.5,1,-2.98,-47.52,"Paragominas",1009,NA,"Tropical","Natural","Forest","Evergreen",NA,1750,"IRGA","Isotope","Mature",2400,890,1510,"None",NA,NA,NA,NA,NA,"Forest",0,0,11.09,815,5.7903872933472,-178.541340309468
88,1998.5,2,53.99,-105.12,"BOREAS SSA-OBS",2396,NA,"Boreal","Natural","Forest","Evergreen",NA,NA,"IRGA","Exclusion","Mature",564,440,124,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.35,419.416666666667,-4.9496127066528,-574.124673642802
89,1998.5,2,53.99,-105.12,"BOREAS SSA-BSSP",2396,NA,"Boreal","Natural","Forest","Evergreen",NA,NA,"IRGA","Exclusion","Mature",319,265,54,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.35,419.416666666667,-4.9496127066528,-574.124673642802
90,1999,1,60.08,17.5,"Norunda-N",1925,45,"Boreal","Natural","Forest","Evergreen",5.5,527,"IRGA","Extraction","Mature",98,69,29,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.01090909090909,524.166666666667,-2.28870361574371,-469.374673642802
91,1999,1,60.08,17.5,"Norunda-SW",1925,45,"Boreal","Natural","Forest","Evergreen",5.5,527,"IRGA","Extraction","Mature",149,100,49,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.01090909090909,524.166666666667,-2.28870361574371,-469.374673642802
92,1999,1,44.43,-121.57,"Metiolus-Y",2037,NA,"Temperate","Unmanaged","Forest","Evergreen",7.5,552,"IRGA","Extraction","Aggrading",519,248,265,"None",NA,NA,65,25,10,"Forest",0,0,2.53181818181818,2227.16666666667,-2.76779452483462,1233.6253263572
93,1999,1,44.5,-121.62,"Metiolus-O",2037,NA,"Temperate","Natural","Forest","Evergreen",8.1,524,"IRGA","Extraction","Mature",499,276,235,"None",NA,NA,62,30,8,"Forest",0,0,3.253,1928.83333333333,-2.0466127066528,935.291993023865
94,2000,1,44.43,-121.57,"Metiolus-Y",2037,NA,"Temperate","Unmanaged","Forest","Evergreen",7.5,552,"IRGA","Extraction","Aggrading",427,248,265,"None",NA,NA,65,25,10,"Forest",0,0,2.79181818181818,1928.83333333333,-2.50779452483462,935.291993023865
95,2000,1,44.5,-121.62,"Metiolus-O",2037,NA,"Temperate","Natural","Forest","Evergreen",8.1,524,"IRGA","Extraction","Mature",597,322,275,"None",NA,NA,62,30,8,"Forest",0,0,3.42181818181818,1456,-1.87779452483462,462.458659690532
96,2001,1,44.43,-121.57,"Metiolus-Y",2037,NA,"Temperate","Unmanaged","Forest","Evergreen",7.5,552,"IRGA","Extraction","Aggrading",505,248,265,"None",NA,NA,65,25,10,"Forest",0,0,9.97,1558.08333333333,4.6703872933472,564.541993023865
97,2001,1,44.5,-121.62,"Metiolus-O",2037,NA,"Temperate","Natural","Forest","Evergreen",8.1,524,"IRGA","Extraction","Mature",483,276,235,"None",NA,NA,62,30,8,"Forest",0,0,2.95090909090909,1558.08333333333,-2.34870361574371,564.541993023865
98,1996.5,1,44.42,-121.51,"Metiolus-O",1470,NA,"Temperate","Natural","Forest","Evergreen",8.1,600,"IRGA","Subtraction","Mature",683,406,277,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.77583333333333,206.666666666667,-2.52377937331946,-786.874673642802
103,1996,1,42.9,-72.3,"Harvard Forest-Prospect Hill",1600,NA,"Temperate","Natural","Forest","Deciduous",6,1172,"IRGA","Isotope","Mature",840,570,270,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.746,1028.16666666667,-1.5536127066528,34.6253263571984
107,2000,1,64.23,19.77,"Åheden",1794,NA,"Boreal","Natural","Forest","Evergreen",1,600,"Gas chromatography","Comparison","Mature",275,127,149,"None",NA,NA,NA,NA,NA,"Forest",0,0,14.6625,636.222222222222,9.3628872933472,-357.319118087246
108,1994,1,37.4,-122.23,"Jasper Ridge",1185,NA,"Temperate","Natural","Grassland","Evergreen",14,511,"Gas chromatography","Isotope","Mature",323,144,179,"None",NA,NA,NA,NA,NA,"Grassland",0,0,5.41416666666667,336.181818181818,0.114553960013868,-657.35952212765
113,1992,1,54.1,10.23,"Kiel Ecosystem Research Center",1823,NA,"Temperate","Natural","Forest","Deciduous",8.1,575,"IRGA","Extraction","Mature",1754,520,1234,"None",NA,23,NA,NA,NA,"Forest",0,0,3.68,553,-1.6196127066528,-440.541340309468
114,1993,1,6.38,2.13,"Ouidah",1078,NA,"Tropical","Managed","Forest","Evergreen",27,950,"IRGA","Extraction","Mature",1610,499,1111,"None",1.5,NA,NA,NA,NA,"Forest",0,0,8.48583333333333,1153.83333333333,3.18622062668054,160.291993023865
115,1995.5,1,34.63,-79.2,"SETRES",1639,NA,"Temperate","Managed","Forest","Evergreen",17,1210,"IRGA","Extraction","Aggrading",1263,600,663,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.68666666666667,1599.58333333333,0.387053960013868,606.041993023865
130,1994,1,53.883,-104.883,"BOREAS SSA-OJP",1232,NA,"Boreal","Natural","Forest","Evergreen",1.5,405,"IRGA","Extraction","Mature",338,187,151,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.839,420.428571428571,1.5393872933472,-573.112768880897
131,1994,1,55.567,-106.233,"BOREAS SSA-OA",1232,NA,"Boreal","Natural","Forest","Deciduous",1.5,405,"IRGA","Extraction","Mature",905,591,314,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.225833333333333,419.416666666667,-5.07377937331947,-574.124673642802
132,1994,1,53.883,-104.883,"BOREAS SSA-OBS",1232,NA,"Boreal","Natural","Forest","Evergreen",1.5,405,"IRGA","Extraction","Mature",564,372,192,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.839,420.428571428571,1.5393872933472,-573.112768880897
146,2003.5,1,48.22,-82.16,"Groundhog River Flux Station",3413,NA,"Boreal","Natural","Forest","Mixed",1.5,814,"IRGA","","Mature",911,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,11.09,330.2,5.7903872933472,-663.341340309468
147,2004.5,1,48.22,-82.16,"Groundhog River Flux Station",3413,NA,"Boreal","Natural","Forest","Mixed",1.5,814,"IRGA","","Mature",918,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,11.09,330.2,5.7903872933472,-663.341340309468
149,2000,1,42.4,11.92,"Roccarespampani",2129,140,"Temperate","Managed","Forest","Deciduous",14,755,"IRGA","Exclusion","Mature",1097,604,494,"None",1.22,12.6,52,12,35,"Forest",0,0,11.09,497.8,5.7903872933472,-495.741340309468
150,1997,2,32.82,130.73,"Kyushu Forest Research and Instruction Station",1665,NA,"Temperate","Managed","Forest","Evergreen",16.2,1970,"IRGA","Comparison","Mature",618,266,352,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.68818181818182,1995.83333333333,0.38856911152902,1002.29199302386
174,1994,1,53.63,-106.2,"BOREAS SSA-OA",1382,NA,"Boreal","Natural","Forest","Deciduous",0.5,406,"IRGA","Subtraction","Mature",905,362,543,"None",NA,NA,NA,NA,NA,"Forest",0,0,11.86,275.625,6.5603872933472,-717.916340309468
175,1999,2,64.8,-147.87,"BNZ LTER-5A",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.322,217.833333333333,-3.9776127066528,-775.708006976135
176,1998,2,64.8,-147.87,"BNZ LTER-5C",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.355,249.454545454545,-3.9446127066528,-744.086794854923
177,1998,2,64.8,-147.87,"BNZ LTER-5D",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.355,249.454545454545,-3.9446127066528,-744.086794854923
178,1998,2,64.8,-147.87,"BNZ LTER-5A",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.355,249.454545454545,-3.9446127066528,-744.086794854923
179,1999,2,64.8,-147.87,"BNZ LTER-5C",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.322,217.833333333333,-3.9776127066528,-775.708006976135
180,1999,2,64.8,-147.87,"BNZ LTER-5D",2427,120,"Boreal","Natural","Forest","Evergreen",-3.3,269,"IRGA","","Mature",580,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.322,217.833333333333,-3.9776127066528,-775.708006976135
184,1992.5,1,54.83,37.58,"Pushchino-1",1343,NA,"Temperate","Unmanaged","Forest","Deciduous",5.4,670,"Gas chromatography","Extraction","Mature",640,230,410,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.88090909090909,453.166666666667,-2.41870361574371,-540.374673642802
185,1992.5,1,54.83,37.58,"Pushchino-2",1343,NA,"Temperate","Managed","Grassland","Deciduous",5.4,670,"Gas chromatography","Extraction","Mature",475,140,335,"None",NA,NA,NA,NA,NA,"Grassland",0,0,2.88090909090909,453.166666666667,-2.41870361574371,-540.374673642802
187,1995,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",750,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.4188888888889,1067.4,7.11927618223609,73.8586596905318
188,1995,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",710,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.4188888888889,1067.4,7.11927618223609,73.8586596905318
189,1995,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",701,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.4188888888889,1067.4,7.11927618223609,73.8586596905318
190,1995,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",670,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.4188888888889,1067.4,7.11927618223609,73.8586596905318
191,1995,1,42.53,-72.18,"Harvard Forest-Prospect Hill-VPD",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",550,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.4188888888889,1067.4,7.11927618223609,73.8586596905318
192,1996,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",790,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.838888888888889,1179.91666666667,-4.46072381776391,186.375326357198
193,1996,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",790,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.838888888888889,1179.91666666667,-4.46072381776391,186.375326357198
194,1996,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",750,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.838888888888889,1179.91666666667,-4.46072381776391,186.375326357198
195,1996,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",780,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.838888888888889,1179.91666666667,-4.46072381776391,186.375326357198
196,1996,1,42.53,-72.18,"Harvard Forest-Prospect Hill-VPD",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",400,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.838888888888889,1179.91666666667,-4.46072381776391,186.375326357198
198,1996,1,45.2,-68.73,"Howland-MWD1",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",820,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.72090909090909,1028.16666666667,-2.57870361574371,34.6253263571984
199,1996,1,45.2,-68.73,"Howland-MWD2",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",740,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.72090909090909,1028.16666666667,-2.57870361574371,34.6253263571984
200,1996,1,45.2,-68.73,"Howland-VPD1",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",500,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.72090909090909,1028.16666666667,-2.57870361574371,34.6253263571984
201,1996,1,45.2,-68.73,"Howland-VPD2",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",460,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.72090909090909,1028.16666666667,-2.57870361574371,34.6253263571984
202,1997,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",640,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.01375,1179.91666666667,-3.2858627066528,186.375326357198
203,1997,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",630,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.01375,1179.91666666667,-3.2858627066528,186.375326357198
204,1997,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",700,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.01375,1179.91666666667,-3.2858627066528,186.375326357198
205,1997,1,42.53,-72.18,"Harvard Forest-Prospect Hill-MD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",570,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.01375,1179.91666666667,-3.2858627066528,186.375326357198
206,1997,1,42.53,-72.18,"Harvard Forest-Prospect Hill-VPD",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",370,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.01375,1179.91666666667,-3.2858627066528,186.375326357198
207,1997,1,45.2,-68.73,"Howland-WD",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",800,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.5475,1179.91666666667,-3.7521127066528,186.375326357198
208,1997,1,45.2,-68.73,"Howland-MWD1",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",680,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.5475,1179.91666666667,-3.7521127066528,186.375326357198
209,1997,1,45.2,-68.73,"Howland-MWD2",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",540,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.5475,1179.91666666667,-3.7521127066528,186.375326357198
210,1997,1,45.2,-68.73,"Howland-VPD1",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",470,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.5475,1179.91666666667,-3.7521127066528,186.375326357198
211,1997,1,45.2,-68.73,"Howland-VPD2",1891,80,"Temperate","Natural","Forest","Evergreen",5.5,1000,"IRGA","","Mature",370,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,1.5475,1179.91666666667,-3.7521127066528,186.375326357198
212,1998,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD1",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",940,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.941111111111111,1179.91666666667,-4.35850159554169,186.375326357198
213,1998,1,42.53,-72.18,"Harvard Forest-Prospect Hill-WD2",1891,340,"Temperate","Natural","Forest","Deciduous",8.5,1050,"IRGA","","Mature",990,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.941111111111111,1179.91666666667,-4.35850159554169,186.375326357198
